Date,title,category,account,amount,currency,type,transfer-amount,transfer-currency,to-account,receive-amount,receive-currency,description,due-date,id
2024-06-28 08:03:54.409,Water,Food & Drinks,Cash,10.00,INR,EXPENSE,,,,,,,,1a9e3a8c-317c-4201-9062-31dbcecb63d5
2024-06-28 01:21:47.390,Adjust balance,,Cash,358.00,INR,EXPENSE,,,,,,,,d98b8e50-f465-4388-be20-ee4ce02687ce
2024-06-27 14:46:47.643,Water,Food & Drinks,Cash,40.00,INR,EXPENSE,,,,,,,,153de8c3-7909-498e-9d43-7c4ee326d083
2024-06-27 14:46:14.704,Bus,Transport,Cash,20.00,INR,EXPENSE,,,,,,,,c0e4f5d9-5bd4-49e4-aefd-3ff48595f91b
2024-06-27 14:45:25.041,Metro,Transport,Cash,20.00,INR,EXPENSE,,,,,,,,03783226-9430-4f1a-b8b8-57bd24885e9a
2024-06-27 14:44:58.599,Haldiram,Food & Drinks,Cash,207.00,INR,EXPENSE,,,,,,,,c54801c1-0b35-4957-a3ce-909fb198186c
2024-06-27 14:43:37.895,Tickets victoria,Bills & Fees,Cash,100.00,INR,EXPENSE,,,,,,,,5364aeef-79f3-4645-8f98-a058c5e7d215
2024-06-27 14:43:17.268,Lunch,Food & Drinks,Cash,95.00,INR,EXPENSE,,,,,,,,c379664f-1940-49bb-820f-7366e229fb3f
2024-06-27 14:42:56.410,Ferry,Transport,Cash,50.00,INR,EXPENSE,,,,,,,,942ad094-4a94-444c-8f43-54e8fe5a39f0
2024-06-27 14:42:45.061,Baba,Bills & Fees,Cash,500.00,INR,EXPENSE,,,,,,,,c0684741-93d6-46b2-a47d-32f7e09d8ad7
2024-06-27 14:42:09.168,Museum,Bills & Fees,Savings Bank,150.00,INR,EXPENSE,,,,,,,,819ae93c-51e7-4974-895f-7713a3bf6b89
2024-06-27 14:35:22.527,Bus,Transport,Cash,20.00,INR,EXPENSE,,,,,,,,eb2c31b4-5ac3-4e97-b296-2fb47ee65648
2024-06-27 14:33:37.949,Metro,Transport,Salary Bank,10.00,INR,EXPENSE,,,,,,,,13a48e11-8267-4ad0-832d-e6ad5804f0dd
2024-06-27 13:24:27.059,Grocery,Bills & Fees,Cash,200.00,INR,EXPENSE,,,,,,,,c28c190a-92c5-4d05-9c89-310befca5467
2024-06-27 02:20:46.881,Withdraw,Bills & Fees,Salary Bank,0.00,INR,TRANSFER,"2,500.00",INR,Cash,"2,500.00",INR,,,b16e55e0-bd1b-4362-a9b4-8796f9901621
2024-06-26 16:20:10.049,Cab,Transport,Salary Bank,200.00,INR,EXPENSE,,,,,,,,00d8e305-4141-4188-81e9-32a191ccaf68
2024-06-26 14:34:00.000,Train,Transport,Salary Bank,20.00,INR,EXPENSE,,,,,,,,b1438c76-e86d-49e6-b6c8-aa9a01b721f8
2024-06-24 01:42:02.212,Tickets,Bills & Fees,Salary Bank,20.00,INR,EXPENSE,,,,,,,,4d633abc-5c86-4813-a93a-39cfd53b7dbe
2024-06-23 15:49:22.486,Maa stuff,Bills & Fees,Salary Bank,240.00,INR,EXPENSE,,,,,,,,4a0333b6-e068-439e-a9b7-fb09b8571130
2024-06-23 15:26:55.087,Toto,Transport,Salary Bank,20.00,INR,EXPENSE,,,,,,,,38d13eb9-67dc-4e76-b32e-63764016b470
2024-06-23 15:20:07.076,Snacks,Food & Drinks,Salary Bank,70.00,INR,EXPENSE,,,,,,,,c39e0b28-2498-4d06-b509-cf07381a9010
2024-06-23 15:18:18.631,Adjust balance,,Salary Bank,102.00,INR,EXPENSE,,,,,,,,d7a24953-5fcf-471b-ba8a-2b5b53989393
2024-06-23 14:44:54.072,Snacks,Food & Drinks,Salary Bank,44.00,INR,EXPENSE,,,,,,,,6cb158ba-8edf-448b-b72d-2d644b11b090
2024-06-23 08:19:55.534,Shaka pola,Bills & Fees,Salary Bank,600.00,INR,EXPENSE,,,,,,,,c692fa2a-cc2e-452c-9017-ec8b1f5d99dd
2024-06-21 15:16:00.000,Tickets,Transport,Salary Bank,40.00,INR,EXPENSE,,,,,,,,7731b44a-90a9-490f-b0dc-32b1607174f7
2024-06-20 12:39:19.568,Adjust balance,,Salary Bank,60.00,INR,EXPENSE,,,,,,,,445dc212-caca-40e6-b82f-6202a34dfc4f
2024-06-20 12:30:33.462,Lunch,Food & Drinks,Salary Bank,20.00,INR,EXPENSE,,,,,,,,ba1ad731-ddb9-4b43-8dee-8c51f9eeca51
2024-06-20 12:30:04.622,Recharge,Bills & Fees,Salary Bank,259.00,INR,EXPENSE,,,,,,,,02c4ef39-dc24-41c7-a661-9aabec8e2759
2024-06-19 12:34:00.000,Shave,Bills & Fees,Salary Bank,20.00,INR,EXPENSE,,,,,,,,a615e949-d311-4d68-90e8-b7c3c185e3e2
2024-06-17 15:10:03.406,Water,Food & Drinks,Cash,20.00,INR,EXPENSE,,,,,,,,a69d23ab-b64c-4433-bcd0-287150241428
2024-06-17 14:56:11.086,Tickets,Transport,Cash,260.00,INR,EXPENSE,,,,,,,,a3648944-0536-4103-9b05-b1a2c10b97f0
2024-06-17 12:22:07.086,Water,Food & Drinks,Cash,20.00,INR,EXPENSE,,,,,,,,ab6d1bd8-fca7-456f-891a-9c4d4b4cc200
2024-06-17 10:07:14.477,Ticket Refund,Bills & Fees,Salary Bank,"1,570.72",INR,INCOME,,,,,,,,134b84d9-d069-4dc3-b3d8-2ad31a9914df
2024-06-17 08:10:41.282,Lunch,Food & Drinks,Salary Bank,250.00,INR,EXPENSE,,,,,,,,7acd4795-7a52-40c1-b8c9-516b42b0ed75
2024-06-17 05:15:33.151,Adjust balance,,Cash,120.00,INR,EXPENSE,,,,,,,,76522f59-ef2e-418d-ae78-6ca7a400eb01
2024-06-16 23:32:32.665,Baba,Bills & Fees,Cash,500.00,INR,EXPENSE,,,,,,,,0bc78b39-86a4-4563-aa48-601fb29d8c11
2024-06-16 08:17:00.000,Cab,Transport,Salary Bank,170.00,INR,EXPENSE,,,,,,,,558a01e8-4b80-461e-ae4a-d8463cb918ac
2024-06-16 07:45:50.967,Snacks,Food & Drinks,Salary Bank,200.00,INR,EXPENSE,,,,,,,,37d15a02-2d34-4653-9d59-b70a24fa53ed
2024-06-16 07:45:35.414,Chotu,Bills & Fees,Cash,500.00,INR,EXPENSE,,,,,,,,b4c1f454-2b37-4ed5-8458-e86c0048b7ee
2024-06-16 07:45:25.649,Withdraw,Bills & Fees,Salary Bank,0.00,INR,TRANSFER,"1,500.00",INR,Cash,"1,500.00",INR,,,2e1389f8-269b-431b-afd8-9de7c6ab74e0
2024-06-16 07:45:01.144,Tickets,Bills & Fees,Salary Bank,"1,702.70",INR,EXPENSE,,,,,,,,fb0cf317-8075-4f05-adb6-c924435db5a3
2024-06-15 18:30:01.003,Baba,Bills & Fees,Salary Bank,500.00,INR,EXPENSE,,,,,,,,2572b1a9-bcb3-48e1-985d-c9fd31e71f6d
2024-06-14 18:29:00.000,Petrol,Transport,Cash,100.00,INR,EXPENSE,,,,,,,,a1fe4f07-b2f4-4179-9fa5-410bc804607d
2024-06-14 18:29:00.000,Sriya payback,Bills & Fees,Cash,100.00,INR,INCOME,,,,,,,,ecd7db96-ad5e-49ce-bc6c-907829cf806b
2024-06-14 03:57:50.574,Petrol,Transport,Salary Bank,100.00,INR,EXPENSE,,,,,,,,4228d945-c519-4c74-9c97-e9b1e1a1673c
2024-06-13 15:22:37.432,Snacks,Food & Drinks,Salary Bank,208.50,INR,EXPENSE,,,,,,,,3bb28e6e-8680-4a2c-b19a-307f1d665e88
2024-06-13 15:22:05.293,Petrol,Transport,Salary Bank,200.00,INR,EXPENSE,,,,,,,,7f2fbd7d-ebd8-40cc-b72e-ebf59781ac81
2024-06-11 08:25:03.581,Chips,Food & Drinks,Salary Bank,10.00,INR,EXPENSE,,,,,,,,ae884f4f-f532-4ba2-810e-7f40415b00c9
2024-06-10 05:26:27.942,Breakfast,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,b85cd16c-5ced-4393-9bb7-4b2a599d850e
2024-06-09 05:26:00.000,Petrol,Transport,Salary Bank,200.00,INR,EXPENSE,,,,,,,,062e59cb-5373-4791-a0ee-e499208deb1d
2024-06-09 05:24:00.000,Clothes,Bills & Fees,Salary Bank,799.00,INR,EXPENSE,,,,,,,,4c221e0f-4ea9-45f1-95ac-048906819f10
2024-06-09 05:21:00.000,Snacks,Food & Drinks,Salary Bank,198.88,INR,EXPENSE,,,,,,,,16773874-1f14-4c60-950e-c039a3814588
2024-06-07 16:56:39.988,Baba,Bills & Fees,Salary Bank,500.00,INR,EXPENSE,,,,,,,,05e0f471-b671-48cb-9a83-e9c2dce2cc8e
2024-06-07 16:56:30.798,Snacks,Food & Drinks,Salary Bank,90.00,INR,EXPENSE,,,,,,,,efe635ab-b644-4d51-99cd-d8ffa76fcab9
2024-06-07 16:56:18.253,Sriya,Bills & Fees,Salary Bank,100.00,INR,EXPENSE,,,,,,,,1ed370e7-b050-47c4-b24a-8dce1aea7e82
2024-06-07 16:56:10.389,Petrol,Transport,Salary Bank,100.00,INR,EXPENSE,,,,,,,,3cbef138-72cc-4820-a76f-c87b9a8cf165
2024-06-07 05:49:15.113,Karthik payback,Bills & Fees,Salary Bank,200.00,INR,INCOME,,,,,,,,c05e6998-4ece-4c6e-9310-f51a58b922f5
2024-06-07 05:48:57.032,Karthik payback,Bills & Fees,Cash,100.00,INR,INCOME,,,,,,,,aa5bcfad-c580-4a2b-b9a3-414df3804624
2024-06-05 14:47:55.268,Grocery,Bills & Fees,Salary Bank,175.00,INR,EXPENSE,,,,,,,,e5e0b394-d70c-48bb-81da-363d85a81880
2024-06-05 13:59:13.995,Netflix,Bills & Fees,Savings Bank,200.00,INR,EXPENSE,,,,,,,,bed7ee92-d044-4398-9b48-91b12308c2e8
2024-06-05 13:55:51.663,Settlement,Bills & Fees,Salary Bank,0.00,INR,TRANSFER,"2,175.00",INR,Savings Bank,"2,175.00",INR,,,bba071ab-57fd-48d6-a653-d57d22977e46
2024-06-05 08:22:32.878,Salary,Bills & Fees,Salary Bank,"11,688.00",INR,INCOME,,,,,,,,d7ab8a16-5521-4a7c-a62a-ad66e4f629ee
2024-06-05 05:29:00.000,Snacks,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,ecbb7610-76b5-4f3f-964f-abb01c486ec8
2024-06-05 04:36:19.506,Adjust balance,,Cash,67.00,INR,EXPENSE,,,,,,,,92182a4d-5c30-466d-9183-24297e618f26
2024-06-05 04:33:40.272,Chotu,Bills & Fees,Savings Bank,155.00,INR,EXPENSE,,,,,,,,e4213549-3613-4058-96cc-933df529f820
2024-06-05 04:31:51.877,Adjust balance,,Salary Bank,10.00,INR,EXPENSE,,,,,,,,3c361c1b-5349-455d-84be-6689570b532a
2024-06-05 04:31:24.237,Netflix,Bills & Fees,Salary Bank,199.00,INR,EXPENSE,,,,,,,,f9f55fad-e59f-4f00-8b37-3a82954424b4
2024-06-05 04:31:12.252,Netflix,Bills & Fees,Salary Bank,200.00,INR,INCOME,,,,,,,,deb59219-cca3-4b90-8f77-c8e1f8aff192
2024-06-05 04:30:53.200,,Bills & Fees,Salary Bank,70.00,INR,INCOME,,,,,,,,21ee236b-528a-4fdf-a663-c711785f40fe
2024-06-04 03:35:41.791,Baba,Bills & Fees,Salary Bank,200.00,INR,EXPENSE,,,,,,,,2bfe2d14-db8a-45c2-9fa3-b1b78cc9210e
2024-06-03 12:36:00.077,Snacks,Food & Drinks,Cash,90.00,INR,EXPENSE,,,,,,,,b12e0db0-9da4-49cb-999b-98357aff6dfb
2024-06-03 05:07:41.196,Goje,Bills & Fees,Savings Bank,300.00,INR,EXPENSE,,,,,,,,8f3ae772-1551-44bc-b056-7f800f30cc54
2024-06-03 05:04:36.556,Petrol,Transport,Salary Bank,100.00,INR,EXPENSE,,,,,,,,02e1c2da-3f99-4fe3-96b3-68f968750013
2024-05-31 03:09:00.000,Biryani 🍚,Food & Drinks,Savings Bank,520.00,INR,EXPENSE,,,,,,,,f0a1ca79-e8c3-4a46-bcdf-59c803eff53d
2024-05-31 03:08:00.000,Adjust balance,,Salary Bank,54.00,INR,EXPENSE,,,,,,,,1a7cd23f-49ee-4101-9858-012068855deb
2024-05-31 03:03:00.000,Juice,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,d06b82a1-977b-4e07-a56b-1e846157e695
2024-05-31 03:03:00.000,Petrol,Transport,Salary Bank,100.00,INR,EXPENSE,,,,,,,,6d43985c-2e33-4281-9bf8-0c8e6f9b260b
2024-05-31 03:01:00.000,Smthng,Bills & Fees,Cash,10.00,INR,EXPENSE,,,,,,,,39f842d8-92d0-4108-bfae-5b3802a25523
2024-05-30 14:19:51.971,Pizza,Food & Drinks,Salary Bank,190.00,INR,EXPENSE,,,,,,,,43ac317c-1fa9-4748-81c8-40cc674a196a
2024-05-30 08:34:31.739,Baba,Bills & Fees,Savings Bank,"1,000.00",INR,EXPENSE,,,,,,,,2be3b36d-cbf8-423c-b51c-55e7e999595b
2024-05-29 11:05:25.670,Snacks,Food & Drinks,Salary Bank,35.00,INR,EXPENSE,,,,,,,,bb50734a-f6b8-47c4-a707-92b2be34aa3b
2024-05-29 04:27:14.022,Reward,Bills & Fees,Salary Bank,11.00,INR,INCOME,,,,,,,,8dce71df-070d-47b8-92c9-2f617cabc9a0
2024-05-29 04:26:59.011,Breakfast,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,ec50fd6d-7b75-4dd7-87d9-b95506f15c56
2024-05-28 14:50:27.897,Shirt,Bills & Fees,Salary Bank,160.00,INR,EXPENSE,,,,,,,,4976a205-5563-43b6-817d-8840969592a2
2024-05-28 14:49:47.594,Bus,Transport,Cash,30.00,INR,EXPENSE,,,,,,,,fcf6c72c-9988-482a-ba5f-f58b5c2f2bea
2024-05-28 14:49:32.484,Juice,Food & Drinks,Salary Bank,35.00,INR,EXPENSE,,,,,,,,90e3f00f-96c4-425d-b28b-4b10e0d2a648
2024-05-28 14:49:13.738,Withdraw,Bills & Fees,Salary Bank,0.00,INR,TRANSFER,300.00,INR,Cash,300.00,INR,,,3892857d-ffc3-4200-9612-aeb73ec09903
2024-05-28 14:48:52.931,Auto,Transport,Cash,20.00,INR,EXPENSE,,,,,,,,d293f0c2-bf08-4d17-9ea0-7bb17d4d9855
2024-05-27 15:14:02.274,Recharge,Bills & Fees,Salary Bank,155.00,INR,EXPENSE,,,,,,,,d52842dc-5f52-4f8f-a61c-807d355df654
2024-05-27 15:13:47.982,Chotu,Bills & Fees,Salary Bank,500.00,INR,EXPENSE,,,,,,,,586a29c2-b32c-4943-b3b1-798f025add1c
2024-05-27 12:09:12.844,Adjust balance,,Salary Bank,56.00,INR,EXPENSE,,,,,,,,b0dcb84a-92d4-4160-898d-fd4927da97e8
2024-05-27 12:08:00.000,Snacks,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,06c8760b-4e21-497b-a26f-9d24b0ba5e12
2024-05-26 12:49:22.743,Shampoo,Bills & Fees,Cash,4.00,INR,EXPENSE,,,,,,,,4c6fb575-dfd3-4307-a9e7-f2bcefe4db4c
2024-05-26 12:08:00.000,Petrol,Bills & Fees,Salary Bank,250.00,INR,EXPENSE,,,,,,,,1318d331-e052-4925-afca-32671034ad33
2024-05-26 12:08:00.000,Stationary,Bills & Fees,Salary Bank,20.00,INR,EXPENSE,,,,,,,,1596fd8b-a723-446f-99da-8bc8f18cf435
2024-05-25 15:20:10.319,Ice cream,Food & Drinks,Salary Bank,20.00,INR,EXPENSE,,,,,,,,c7e0e490-9a26-4613-87e6-d01169bc50e0
2024-05-25 15:19:41.615,Snacks,Food & Drinks,Salary Bank,60.00,INR,EXPENSE,,,,,,,,f7b20515-5b20-4530-b5fa-10e3e6d51f6d
2024-05-25 08:21:43.140,Lunch,Food & Drinks,Salary Bank,70.00,INR,EXPENSE,,,,,,,,a52ca5ed-eb3e-46ad-ba4b-075bbe43a4ad
2024-05-25 08:21:34.647,Auto,Transport,Salary Bank,20.00,INR,EXPENSE,,,,,,,,eac3929c-ce7c-4188-9853-b75fad0935b6
2024-05-24 08:43:00.000,Bus,Transport,Cash,40.00,INR,EXPENSE,,,,,,,,70767dbf-6508-4b71-b541-b12f4ed5fa08
2024-05-24 08:20:00.000,Auto,Transport,Salary Bank,20.00,INR,EXPENSE,,,,,,,,a1e0a217-2509-4704-a89b-9a378d369ac6
2024-05-24 08:20:00.000,Juice,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,3ac3d8dc-837d-4775-90a0-c60397b82a62
2024-05-24 06:37:00.000,Printing,Bills & Fees,Salary Bank,555.00,INR,EXPENSE,,,,,,,,111d7810-1d9c-4440-ad9a-b0a38aaa862e
2024-05-23 04:48:28.675,Breakfast,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,11b63743-5dd4-4a12-af09-ed5adf96116f
2024-05-21 16:32:00.000,Recharge,Bills & Fees,Salary Bank,259.00,INR,EXPENSE,,,,,,,,88f8fa2a-102f-400a-aab7-6f5a5cafdd04
2024-05-21 16:32:00.000,Internet,Bills & Fees,Salary Bank,470.82,INR,EXPENSE,,,,,,,,f12182fe-8230-49b7-afc7-cf00fe33df1b
2024-05-21 16:09:59.066,Juice,Food & Drinks,Salary Bank,10.00,INR,EXPENSE,,,,,,,,83b46998-5170-4b50-a939-d364e991f5f3
2024-05-21 16:09:46.701,Brake,Bills & Fees,Salary Bank,50.00,INR,EXPENSE,,,,,,,,f6d5fdfa-1155-425d-a5a8-358aa4fe8643
2024-05-21 16:09:35.189,Ice Cream,Food & Drinks,Salary Bank,35.00,INR,EXPENSE,,,,,,,,cf6a35f0-18b0-40e1-b837-dd7022d96129
2024-05-21 16:09:22.620,Petrol,Transport,Salary Bank,100.00,INR,EXPENSE,,,,,,,,04706684-ba57-446b-8c30-74bc8dfbeff5
2024-05-21 16:07:26.434,Adjust balance,,Cash,40.00,INR,EXPENSE,,,,,,,,92bf81c0-a7b5-4a80-ac8d-2fd412a5d682
2024-05-20 16:08:00.000,Juice,Food & Drinks,Salary Bank,75.00,INR,EXPENSE,,,,,,,,e688f069-4412-408c-a7ac-ff4c87ff875f
2024-05-20 16:08:00.000,Juice,Food & Drinks,Salary Bank,20.00,INR,EXPENSE,,,,,,,,be393797-8976-4b99-85a1-f9241f7e0e5a
2024-05-19 16:01:00.286,Tickets,Bills & Fees,Salary Bank,"1,341.80",INR,EXPENSE,,,,,,,,89dc11da-bc16-4021-a23c-1d896ec460bd
2024-05-19 16:00:35.999,Tickets,Bills & Fees,Salary Bank,"1,341.80",INR,EXPENSE,,,,,,,,20544f7f-8ec6-4895-8332-8be4ed11d66c
2024-05-19 15:41:26.721,Maggi,Food & Drinks,Salary Bank,14.00,INR,EXPENSE,,,,,,,,a67511da-2ca2-4eff-a28b-a0bab482fe0f
2024-05-17 04:12:00.000,Breakfast,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,a790edcc-dddd-4324-8e65-14b2d36ccedb
2024-05-16 04:11:00.000,Breakfast,Food & Drinks,Salary Bank,30.00,INR,EXPENSE,,,,,,,,9ba7e97f-b449-4a7f-ba94-1cf126e962c1
2024-05-15 17:52:40.255,Juice,Food & Drinks,Salary Bank,130.00,INR,EXPENSE,,,,,,,,6ee76b88-daa0-4ca0-872b-86910582ec99
2024-05-15 17:52:10.428,Shawarma 🌯,Food & Drinks,Salary Bank,220.00,INR,EXPENSE,,,,,,,,7a04f85d-8ae6-48ea-872f-2e4e7d182d82
2024-05-15 17:51:58.694,RtA,Transport,Metro Card,35.00,INR,EXPENSE,,,,,,,,e244b224-73ea-4f20-b051-c6833048b121
2024-05-15 08:17:35.531,Bus,Transport,Cash,10.00,INR,EXPENSE,,,,,,,,a92ff9ec-45b8-401d-80da-77ff88d0412a
2024-05-15 08:17:02.946,AtR,Transport,Salary Bank,35.00,INR,EXPENSE,,,,,,,,91e16f4f-635d-467b-8da1-ce284077e76f
