,Date,Amount,Type,Normalized_Amount,dataset
66,2020-04-25,1750.23,Expense,0.3484522134321497,0
67,2020-04-26,914.0,Income,0.18058948577072162,0
68,2020-04-26,1938.3,Expense,0.3862049168645604,0
69,2020-04-27,1730.65,Expense,0.3445217729939799,0
70,2020-04-27,340.96,Expense,0.06555886326363057,0
71,2020-04-29,764.16,Expense,0.15051097733071303,0
72,2020-04-30,1853.77,Expense,0.36923657517720104,0
73,2020-05-01,851.78,Expense,0.16809959792276824,0
74,2020-05-03,318.05,Expense,0.06095996691845842,0
75,2020-05-03,1162.57,Expense,0.23048680853455597,0
76,2020-05-05,123.76,Expense,0.021958676176271622,0
77,2020-05-06,123.19,Expense,0.021844255795793743,0
78,2020-05-06,146.36,Expense,0.02649534389346459,0
79,2020-05-07,3807.0,Income,0.7613231010733434,0
80,2020-05-11,825.0,Income,0.1627238474154042,0
81,2020-05-12,1318.17,Expense,0.26172156502991994,0
82,2020-05-13,1870.07,Expense,0.37250859658384905,0
83,2020-05-14,484.99,Expense,0.09447108677280328,0
84,2020-05-15,919.88,Expense,0.18176982232723024,0
85,2020-05-16,28.54,Expense,0.0028444505111780683,0
86,2020-05-17,155.79,Expense,0.028388298609089792,0
87,2020-05-19,273.59,Expense,0.0520351772411841,0
88,2020-05-20,1759.75,Expense,0.3503632345236399,0
89,2020-05-21,881.99,Expense,0.17416387808809566,0
90,2020-05-25,1227.24,Expense,0.24346850328105463,0
91,2020-05-27,1339.05,Expense,0.2659129642305832,0
92,2020-05-28,1878.47,Expense,0.37419479166457564,0
93,2020-05-29,1376.0,Income,0.27333021521068407,0
94,2020-05-30,551.97,Expense,0.10791648516650174,0
95,2020-05-31,415.16,Expense,0.08045358647671545,0
96,2020-05-31,1015.76,Expense,0.2010165347486666,0
97,2020-06-01,193.67,Expense,0.03599223547312827,0
98,2020-06-02,97.73,Expense,0.0167334788011153,0
99,2020-06-05,1277.86,Expense,0.2536298360175284,0
100,2020-06-06,1107.84,Expense,0.21950044463358379,0
101,2020-06-07,232.63,Expense,0.04381296884754588,0
102,2020-06-08,1095.72,Expense,0.21706750601710686,0
103,2020-06-09,826.0,Income,0.1629245849250145,0
104,2020-06-09,865.28,Expense,0.1708095543025074,0
105,2020-06-10,1367.31,Expense,0.2715858062521705,0
106,2020-06-10,1562.43,Expense,0.31075370912733385,0
107,2020-06-11,1947.94,Expense,0.3881400264572038,0
108,2020-06-11,1730.57,Expense,0.34450571399321106,0
109,2020-06-12,1764.02,Expense,0.3512203836896759,0
110,2020-06-14,3872.0,Income,0.7743710391980135,0
111,2020-06-15,540.94,Expense,0.10570235043550004,0
112,2020-06-18,2322.0,Income,0.4632278993020357,0
113,2020-06-18,771.26,Expense,0.15193621364894622,0
114,2020-06-18,3364.0,Income,0.6723963843159769,0
115,2020-06-19,663.24,Expense,0.13025254786084073,0
116,2020-06-19,453.62,Expense,0.0881739510963279,0
117,2020-06-21,708.78,Expense,0.13939413404849416,0
118,2020-06-21,1879.08,Expense,0.37431724154543794,0
119,2020-06-22,1962.0,Income,0.39096239584232473,0
120,2020-06-22,86.13,Expense,0.01440492368963572,0
121,2020-06-24,1459.8,Expense,0.2901520185160279,0
122,2020-06-30,776.54,Expense,0.15299610769968863,0
123,2020-06-30,98.33,Expense,0.01685392130688148,0
124,2020-07-02,734.8,Expense,0.14461732404855437,0
125,2020-07-03,3071.0,Income,0.6135802940001566,0
126,2020-07-04,1442.31,Expense,0.2866411194729436,0
127,2020-07-05,1337.12,Expense,0.2655255408370353,0
128,2020-07-06,1113.28,Expense,0.22059245668586389,0
129,2020-07-06,1925.0,Income,0.3835351079867433,0
130,2020-07-08,818.09,Expense,0.16133675122399696,0
131,2020-07-11,580.96,Expense,0.11373586557010457,0
132,2020-07-12,935.33,Expense,0.1848712168507095,0
133,2020-07-12,1027.24,Expense,0.20332100135899295,0
134,2020-07-13,1321.11,Expense,0.26231173330817426,0
135,2020-07-17,195.84,Expense,0.03642783586898264,0
136,2020-07-20,1348.86,Expense,0.2678821991998603,0
137,2020-07-21,1096.0,Income,0.21712371251979776,0
138,2020-07-21,303.23,Expense,0.05798503702603365,0
139,2020-07-22,1786.39,Expense,0.3557108817796585,0
140,2020-07-22,495.53,Expense,0.09658686012409592,0
141,2020-07-22,1439.51,Expense,0.28607905444603476,0
142,2020-07-23,1559.06,Expense,0.3100772237199471,0
143,2020-07-24,109.93,Expense,0.019182476418361058,0
144,2020-07-28,918.36,Expense,0.18146470131262257,0
145,2020-07-28,1900.58,Expense,0.3786330980020596,0
146,2020-07-29,1662.83,Expense,0.33090775509220877,0
147,2020-07-30,1489.87,Expense,0.29618819543000985,0
148,2020-07-31,1506.04,Expense,0.29943412096040856,0
149,2020-08-01,556.45,Expense,0.10881578920955591,0
150,2020-08-01,2420.0,Income,0.4829001752438459,0
151,2020-08-01,1533.97,Expense,0.30504071960382445,0
152,2020-08-02,1787.12,Expense,0.355857420161674,0
153,2020-08-03,2394.0,Income,0.4776809999939779,0
154,2020-08-04,1415.77,Expense,0.28131354596788605,0
155,2020-08-04,3210.0,Income,0.6414828078359894,0
156,2020-08-04,133.91,Expense,0.02399616189881625,0
157,2020-08-05,1810.63,Expense,0.3605767590126124,0
158,2020-08-05,1714.9,Expense,0.34136015721761753,0
159,2020-08-06,959.19,Expense,0.18966081383001146,0
160,2020-08-08,1081.06,Expense,0.21412469412621973,0
161,2020-08-08,1509.42,Expense,0.3001126137428914,0
162,2020-08-09,981.58,Expense,0.19415532667018626,0
163,2020-08-13,67.76,Expense,0.01071737563809436,0
164,2020-08-14,1451.12,Expense,0.2884096169326104,0
165,2020-08-16,1961.64,Expense,0.39089013033886505,0
166,2020-08-17,1187.87,Expense,0.23556546752769675,0
167,2020-08-18,1289.07,Expense,0.25588010350025997,0
168,2020-08-19,1988.0,Income,0.3961815710921927,0
169,2020-08-20,3181.0,Income,0.6356614200572905,0
170,2020-08-21,681.63,Expense,0.1339441106625743,0
171,2020-08-21,1506.5,Expense,0.2995264602148293,0
172,2020-08-22,1671.47,Expense,0.3326421271752419,0
173,2020-08-22,1999.82,Expense,0.39855428845578655,0
174,2020-08-26,1564.65,Expense,0.31119934639866875,0
175,2020-08-27,1748.0,Income,0.3480045687857187,0
176,2020-08-27,1899.73,Expense,0.3784624711188908,0
177,2020-08-29,1342.22,Expense,0.2665493021360479,0
178,2020-08-30,935.42,Expense,0.1848892832265744,0
179,2020-08-31,343.9,Expense,0.06614903154188488,0
180,2020-09-01,1557.81,Expense,0.3098263018329342,0
181,2020-09-05,1385.0,Income,0.27513685279717687,0
182,2020-09-05,1155.84,Expense,0.22913584509487858,0
183,2020-09-06,799.34,Expense,0.15757292291880368,0
184,2020-09-07,1188.27,Expense,0.2356457625315409,0
185,2020-09-08,212.78,Expense,0.03982832928178126,0
186,2020-09-11,147.22,Expense,0.026667978151729454,0
187,2020-09-11,1594.49,Expense,0.3171893536854403,0
188,2020-09-11,700.94,Expense,0.13782035197314935,0
189,2020-09-16,1700.66,Expense,0.3385016550807668,0
190,2020-09-17,872.71,Expense,0.172301033998912,0
191,2020-09-17,1417.54,Expense,0.2816688513598963,0
192,2020-09-18,1235.67,Expense,0.24516072048706952,0
193,2020-09-18,935.1,Expense,0.18482504722349913,0
194,2020-09-22,651.39,Expense,0.12787380837195858,0
195,2020-09-22,565.07,Expense,0.11054614654239678,0
196,2020-09-22,1144.0,Expense,0.22675911298109255,0
197,2020-09-23,980.22,Expense,0.19388232365711625,0
198,2020-09-23,67.11,Expense,0.010586896256847658,0
199,2020-09-25,687.27,Expense,0.13507627021677643,0
200,2020-09-27,1116.02,Expense,0.22114247746219612,0
201,2020-09-27,180.37,Expense,0.03332242659531117,0
202,2020-09-27,1114.8,Expense,0.22089757770047155,0
203,2020-09-29,1295.35,Expense,0.2571407350606127,0
204,2020-09-30,195.18,Expense,0.03629534911263984,0
205,2020-10-01,619.35,Expense,0.1214421785640443,0
206,2020-10-03,1111.41,Expense,0.22021707754289263,0
207,2020-10-04,710.1,Expense,0.13965910756117977,0
208,2020-10-07,3084.0,Income,0.6161898816250906,0
209,2020-10-07,2069.0,Income,0.4124413093706277,0
210,2020-10-07,510.29,Expense,0.09954974576594408,0
211,2020-10-08,560.23,Expense,0.10957457699588287,0
212,2020-10-08,1961.22,Expense,0.39080582058482866,0
213,2020-10-10,462.69,Expense,0.0899946403084934,0
214,2020-10-10,4875.0,Income,0.9757107613371527,0
215,2020-10-10,946.0,Income,0.18701308607825148,0
216,2020-10-12,1279.36,Expense,0.25393094228194385,0
217,2020-10-14,1746.71,Expense,0.34774561739832144,0
218,2020-10-15,962.64,Expense,0.19035335823816701,0
219,2020-10-16,1158.27,Expense,0.22962363724323165,0
220,2020-10-16,1646.01,Expense,0.3275313501805634,0
221,2020-10-16,512.43,Expense,0.09997932403651012,0
222,2020-10-18,306.9,Expense,0.05872174368630347,0
223,2020-10-19,179.51,Expense,0.033149792337046305,0
224,2020-10-23,1216.57,Expense,0.2413266340535126,0
225,2020-10-24,1553.63,Expense,0.30898721904276316,0
226,2020-10-26,601.73,Expense,0.11790518364471067,0
227,2020-10-27,617.71,Expense,0.12111296904828339,0
228,2020-10-27,1895.7,Expense,0.37765349895516126,0
229,2020-10-27,536.65,Expense,0.1048411865192718,0
230,2020-10-28,1923.0,Income,0.3831336329675227,0
231,2020-10-29,15.32,Expense,0.00019070063412979306,0
232,2020-10-30,589.61,Expense,0.11547224502823374,0
233,2020-10-31,1408.95,Expense,0.2799445161523437,0
234,2020-11-01,1848.58,Expense,0.36819474750232356,0
235,2020-11-01,856.03,Expense,0.16895273233861205,0
236,2020-11-02,1817.74,Expense,0.36200400270594163,0
237,2020-11-04,128.68,Expense,0.02294630472355434,0
238,2020-11-06,883.92,Expense,0.17455130148164355,0
239,2020-11-07,1402.47,Expense,0.27864373709006895,0
240,2020-11-09,881.14,Expense,0.1739932512049269,0
241,2020-11-10,1471.72,Expense,0.29254480963058277,0
242,2020-11-10,191.74,Expense,0.03560481207958038,0
243,2020-11-12,1156.73,Expense,0.22931450147843177,0
244,2020-11-12,1999.15,Expense,0.3984197943243477,0
245,2020-11-14,946.3,Expense,0.1870733073311346,0
246,2020-11-14,371.16,Expense,0.07162113605386189,0
247,2020-11-14,1938.42,Expense,0.38622900536571364,0
248,2020-11-14,673.28,Expense,0.13226795245732823,0
249,2020-11-15,666.31,Expense,0.13086881201534437,0
250,2020-11-15,1328.54,Expense,0.2638032130045788,0
251,2020-11-16,915.1,Expense,0.18081029703129298,0
252,2020-11-16,240.68,Expense,0.04542890579990887,0
253,2020-11-17,1318.74,Expense,0.2618359854103978,0
254,2020-11-20,117.87,Expense,0.020776332244666906,0
255,2020-11-22,1254.56,Expense,0.24895265204360822,0
256,2020-11-23,541.44,Expense,0.10580271919030519,0
257,2020-11-25,4089.0,Income,0.8179310787834504,0
258,2020-11-25,251.64,Expense,0.04762898890523784,0
259,2020-11-26,1422.47,Expense,0.2826584872822751,0
260,2020-11-27,1108.98,Expense,0.21972928539453956,0
261,2020-11-27,4280.0,Income,0.8562719431190193,0
262,2020-11-29,1001.77,Expense,0.19820821698921837,0
263,2020-12-01,836.83,Expense,0.16509857215409415,0
264,2020-12-05,495.02,Expense,0.09648448399419467,0
265,2020-12-05,389.31,Expense,0.07526452185328898,0
266,2020-12-06,1729.41,Expense,0.3442728584820631,0
267,2020-12-10,1642.89,Expense,0.3269050491505793,0
268,2020-12-10,686.35,Expense,0.13489159170793497,0
269,2020-12-11,1676.58,Expense,0.3336678958493505,0
270,2020-12-12,1731.87,Expense,0.34476667275570444,0
271,2020-12-13,696.8,Expense,0.13698929868336265,0
272,2020-12-14,916.14,Expense,0.18101906404128768,0
273,2020-12-14,1961.74,Expense,0.390910204089826,0
274,2020-12-16,474.79,Expense,0.09242356417477814,0
275,2020-12-16,643.17,Expense,0.12622374604296183,0
276,2020-12-16,778.3,Expense,0.1533494057166028,0
277,2020-12-18,1322.0,Income,0.26249038969172744,0
278,2020-12-18,995.7,Expense,0.19698974030588381,0
279,2020-12-20,1447.66,Expense,0.2877150651493588,0
280,2020-12-20,208.43,Expense,0.03895512111497642,0
281,2020-12-22,158.91,Expense,0.029014599639073956,0
282,2020-12-23,683.74,Expense,0.13436766680785206,0
283,2020-12-23,1705.01,Expense,0.3393748632475716,0
284,2020-12-24,1908.74,Expense,0.3802711160804797,0
285,2020-12-25,1746.04,Expense,0.34761112326688254,0
286,2020-12-26,2423.0,Income,0.48350238777267684,0
287,2020-12-28,1994.88,Expense,0.3975626451583117,0
288,2020-12-30,1956.89,Expense,0.38993662716821603,0
289,2020-12-31,892.92,Expense,0.17635793906813632,0
290,2021-01-01,101.52,Expense,0.017494273962538363,0
291,2021-01-06,1067.02,Expense,0.21130633949129102,0
292,2021-01-06,723.34,Expense,0.14231687218842026,0
293,2021-01-08,348.27,Expense,0.06702625445888193,0
294,2021-01-10,2472.0,Income,0.49333852574358195,0
295,2021-01-10,472.06,Expense,0.091875550773542,0
296,2021-01-11,518.1,Expense,0.10111750571600059,0
297,2021-01-12,2856.0,Income,0.5704217294339403,0
298,2021-01-13,156.99,Expense,0.028629183620622167,0
299,2021-01-13,1281.49,Expense,0.2543585131774138,0
300,2021-01-14,919.1,Expense,0.1816132470697342,0
301,2021-01-14,1708.14,Expense,0.34000317165265187,0
302,2021-01-15,53.66,Expense,0.007886976752589012,0
303,2021-01-15,3440.0,Income,0.6876524350463603,0
304,2021-01-17,556.22,Expense,0.10876961958234554,0
305,2021-01-17,1822.13,Expense,0.3628852403731309,0
306,2021-01-19,1553.72,Expense,0.30900528541862804,0
307,2021-01-20,445.82,Expense,0.0866081985213675,0
308,2021-01-24,1620.0,Income,0.32231016755559927,0
309,2021-01-26,624.78,Expense,0.12253218324122826,0
310,2021-01-27,1467.4,Expense,0.29167762358906624,0
311,2021-01-27,3176.0,Income,0.634657732509239,0
312,2021-01-27,409.58,Expense,0.07933347117308992,0
313,2021-01-27,1066.4,Expense,0.21118188223533266,0
314,2021-01-29,521.37,Expense,0.10177391737242629,0
315,2021-02-02,1935.09,Expense,0.3855605494587113,0
316,2021-02-05,1610.42,Expense,0.32038710221353256,0
317,2021-02-05,290.11,Expense,0.055351360899946404,0
318,2021-02-08,1934.87,Expense,0.38551638720659703,0
319,2021-02-08,189.7,Expense,0.035195307559975346,0
320,2021-02-09,1077.78,Expense,0.21346627509469793,0
321,2021-02-09,1173.27,Expense,0.23263469988738628,0
322,2021-02-11,225.61,Expense,0.042403791530081524,0
323,2021-02-11,1242.9,Expense,0.24661205268155206,0
324,2021-02-13,1831.36,Expense,0.36473804758683404,0
325,2021-02-16,1274.45,Expense,0.25294532110975726,0
326,2021-02-18,1301.99,Expense,0.25847363212442515,0
327,2021-02-19,804.0,Income,0.1585083597135877,0
328,2021-02-20,241.08,Expense,0.04550920080375299,0
329,2021-02-21,783.41,Expense,0.15437517439071147,0
330,2021-02-23,1178.81,Expense,0.23374678569062737,0
331,2021-02-24,1313.29,Expense,0.26074196598302163,0
332,2021-02-27,1878.72,Expense,0.37424497604197826,0
333,2021-02-28,442.37,Expense,0.08591565411321193,0
334,2021-03-02,4960.0,Income,0.9927734496540289,0
335,2021-03-02,130.49,Expense,0.023309639615948997,0
336,2021-03-02,1712.35,Expense,0.34084827656811123,0
337,2021-03-04,1898.53,Expense,0.37822158610735845,0
338,2021-03-05,1328.91,Expense,0.26387748588313464,0
339,2021-03-05,110.65,Expense,0.01932700742528048,0
340,2021-03-07,1576.09,Expense,0.3134957835086106,0
341,2021-03-07,1176.9,Expense,0.23336337704727173,0
342,2021-03-08,663.83,Expense,0.13037098299151081,0
343,2021-03-09,2771.0,Income,0.5533590411170641,0
344,2021-03-09,1975.18,Expense,0.3936081162189886,0
345,2021-03-10,228.75,Expense,0.043034107310257884,0
346,2021-03-12,39.57,Expense,0.005058585242179769,0
347,2021-03-15,929.0,Income,0.18360054841487625,0
348,2021-03-15,1181.82,Expense,0.2343510055945544,0
349,2021-03-16,4809.0,Income,0.9624620857028724,0
350,2021-03-16,4401.0,Income,0.8805611817818666,0
351,2021-03-17,1031.34,Expense,0.2041440251483952,0
352,2021-03-17,855.0,Income,0.16874597270371344,0
353,2021-03-18,921.5,Expense,0.18209501709279893,0
354,2021-03-19,1997.19,Expense,0.39802634880551147,0
355,2021-03-20,1375.33,Expense,0.27319572107924517,0
356,2021-03-21,156.25,Expense,0.028480637863510537,0
357,2021-03-22,912.89,Expense,0.18036666713505417,0
358,2021-03-22,3620.0,Income,0.7237851867762158,0
359,2021-03-22,1038.0,Income,0.20548093696239986,0
360,2021-03-23,1588.26,Expense,0.3159387590005681,0
361,2021-03-23,4023.0,Income,0.8046824031491701,0
362,2021-03-24,833.49,Expense,0.16442810887199572,0
363,2021-03-25,837.82,Expense,0.16529730228860834,0
364,2021-03-26,3060.0,Income,0.6113721813944432,0
365,2021-03-27,1907.65,Expense,0.38005231219500446,0
366,2021-03-28,143.6,Expense,0.025941308366940134,0
367,2021-03-29,869.43,Expense,0.17164261496739017,0
368,2021-03-30,1625.42,Expense,0.3233981648576872,0
369,2021-04-01,1343.33,Expense,0.2667721207717153,0
370,2021-04-02,1737.5,Expense,0.3458968249348105,0
371,2021-04-03,317.91,Expense,0.06093186366711298,0
372,2021-04-03,1204.82,Expense,0.2389679683155915,0
373,2021-04-03,706.73,Expense,0.13898262215379303,0
374,2021-04-08,1691.86,Expense,0.33673516499619605,0
375,2021-04-08,1527.59,Expense,0.3037600142925107,0
376,2021-04-09,1221.9,Expense,0.24239656497973558,0
377,2021-04-11,67.62,Expense,0.010689272386748917,0
378,2021-04-11,1843.86,Expense,0.3672472664569629,0
379,2021-04-12,1741.03,Expense,0.34660542834373487,0
380,2021-04-13,148.47,Expense,0.02691890003874234,0
381,2021-04-18,192.6,Expense,0.03577744633784524,0
382,2021-04-19,845.47,Expense,0.16683294423712722,0
383,2021-04-19,630.16,Expense,0.12361215104293172,0
384,2021-04-19,1767.85,Expense,0.35198920835148334,0
385,2021-04-19,1168.0,Income,0.23157681321173995,0
386,2021-04-21,976.47,Expense,0.1931295579960776,0
387,2021-04-23,438.98,Expense,0.085235153955633,0
388,2021-04-23,865.53,Expense,0.17085973867990997,0
389,2021-04-24,1058.6,Expense,0.2096161296603722,0
390,2021-04-27,796.57,Expense,0.15701688001718314,0
391,2021-04-27,416.8,Expense,0.08078279599247636,0
392,2021-04-27,1530.68,Expense,0.30438029319720655,0
393,2021-04-30,25.38,Expense,0.002210119980809494,0
394,2021-05-02,267.08,Expense,0.050728376053620995,0
395,2021-05-04,1005.52,Expense,0.19896098265025702,0
396,2021-05-04,153.43,Expense,0.02791455808640947,0
397,2021-05-06,878.08,Expense,0.17337899442551935,0
398,2021-05-07,816.01,Expense,0.1609192172040075,0
399,2021-05-07,1725.6,Expense,0.3435080485704478,0
400,2021-05-07,1421.9,Expense,0.28254406690179723,0
401,2021-05-10,1604.63,Expense,0.31922483203288887,0
402,2021-05-11,185.38,Expense,0.034328121518458814,0
403,2021-05-11,877.0,Expense,0.17316219791514023,0
404,2021-05-12,797.58,Expense,0.15721962490188954,0
405,2021-05-14,450.93,Expense,0.08763396719547618,0
406,2021-05-14,1025.86,Expense,0.2030439835957307,0
407,2021-05-15,3362.0,Income,0.6719949092967563,0
408,2021-05-17,480.18,Expense,0.0935055393515777,0
409,2021-05-19,1921.0,Income,0.38273215794830207,0
410,2021-05-22,362.52,Expense,0.06988676397082882,0
411,2021-05-23,933.27,Expense,0.18445769758091227,0
412,2021-05-24,1365.46,Expense,0.2712144418593914,0
413,2021-05-24,1729.85,Expense,0.34436118298629165,0
414,2021-05-24,885.13,Expense,0.17479419386827202,0
415,2021-05-25,1594.7,Expense,0.3172315085624585,0
416,2021-05-25,1019.6,Expense,0.2017873667855702,0
417,2021-05-27,84.84,Expense,0.014145972302238423,0
418,2021-05-27,162.69,Expense,0.02977338742540092,0
419,2021-05-29,1233.87,Expense,0.24479939296977093,0
420,2021-05-30,1164.86,Expense,0.23094649743156356,0
421,2021-05-31,649.84,Expense,0.1275626652320626,0
422,2021-05-31,904.97,Expense,0.17877682605894055,0
423,2021-06-02,1915.87,Expense,0.3817023745240012,0
424,2021-06-02,1964.95,Expense,0.39155457149567513,0
425,2021-06-03,820.0,Income,0.16172015986735264,0
426,2021-06-06,1982.06,Expense,0.3949891902851075,0
427,2021-06-06,734.16,Expense,0.14448885204240378,0
428,2021-06-06,823.45,Expense,0.16241270427550822,0
429,2021-06-09,1580.56,Expense,0.3143930801765687,0
430,2021-06-11,666.08,Expense,0.13082264238813401,0
431,2021-06-11,575.45,Expense,0.11262980189215177,0
432,2021-06-14,673.39,Expense,0.13229003358338534,0
433,2021-06-15,1834.33,Expense,0.3653342379903766,0
434,2021-06-16,266.61,Expense,0.05063402942410416,0
435,2021-06-20,626.07,Expense,0.12279113462862558,0
436,2021-06-20,1628.24,Expense,0.32396424463478823,0
437,2021-06-22,1295.59,Expense,0.25718891206291916,0
438,2021-06-23,46.28,Expense,0.006405533931664938,0
439,2021-06-24,690.05,Expense,0.13563432049349308,0
440,2021-06-26,460.82,Expense,0.08961926116552213,0
441,2021-06-27,2923.0,Income,0.583871142577831,0
442,2021-06-28,1198.52,Expense,0.23770332200504654,0
443,2021-06-28,1856.0,Income,0.36968421982363203,0
444,2021-06-28,1020.3,Expense,0.2019278830422974,0
445,2021-06-28,1327.24,Expense,0.26354225424208544,0
446,2021-06-29,827.61,Expense,0.1632477723154871,0
447,2021-07-04,1939.48,Expense,0.38644178712590055,0
448,2021-07-04,475.67,Expense,0.0926002131832352,0
449,2021-07-04,1808.91,Expense,0.36023149049608266,0
450,2021-07-06,4282.0,Income,0.8566734181382399,0
451,2021-07-07,1010.78,Expense,0.20001686195080726,0
452,2021-07-09,1635.61,Expense,0.3254436800806162,0
453,2021-07-09,1747.27,Expense,0.3478580304037032,0
454,2021-07-10,1425.69,Expense,0.2833048620632203,0
455,2021-07-10,3540.0,Income,0.7077261860073911,0
456,2021-07-11,577.28,Expense,0.11299715153473862,0
457,2021-07-11,904.15,Expense,0.17861222130106008,0
458,2021-07-11,192.51,Expense,0.03575937996198031,0
459,2021-07-12,1770.41,Expense,0.3525030963760858,0
460,2021-07-13,115.98,Expense,0.020396938351503423,0
461,2021-07-14,778.47,Expense,0.15338353109323655,0
462,2021-07-15,730.0,Income,0.1436537840024249,0
463,2021-07-19,1679.96,Expense,0.33434638863183336,0
464,2021-07-19,283.82,Expense,0.05408872196449756,0
465,2021-07-23,4174.0,Income,0.8349937671003266,0
466,2021-07-23,1395.18,Expense,0.2771803606450098,0
467,2021-07-24,47.82,Expense,0.006714669696464812,0
468,2021-07-28,1102.12,Expense,0.21835222607861282,0
469,2021-07-29,231.26,Expense,0.04353795845937976,0
470,2021-08-02,252.48,Expense,0.047797608413310495,0
471,2021-08-06,134.99,Expense,0.024212958409195386,0
472,2021-08-07,1197.51,Expense,0.23750057712034015,0
473,2021-08-07,1676.0,Income,0.33355146809377656,0
474,2021-08-08,1233.47,Expense,0.24471909796592684,0
475,2021-08-09,382.75,Expense,0.07394768379024536,0
476,2021-08-11,144.68,Expense,0.02615810487731927,0
477,2021-08-13,787.0,Expense,0.15509582205021247,0
478,2021-08-13,1962.27,Expense,0.3910165949699195,0
479,2021-08-15,720.62,Expense,0.1417708661622802,0
480,2021-08-16,1349.0,Income,0.26791030245120573,0
481,2021-08-18,275.49,Expense,0.052416578509443694,0
482,2021-08-20,1628.88,Expense,0.32409271664093886,0
483,2021-08-21,4420.0,Income,0.8843751944644624,0
484,2021-08-21,135.57,Expense,0.02432938616476936,0
485,2021-08-22,83.6,Expense,0.013897057790321639,0
486,2021-08-23,1772.72,Expense,0.35296680002328557,0
487,2021-08-24,1035.61,Expense,0.20500117431443118,0
488,2021-08-25,514.09,Expense,0.10031254830246325,0
489,2021-08-27,579.36,Expense,0.11341468555472807,0
490,2021-08-29,1732.94,Expense,0.3449814618909875,0
