,Date,Transaction Description,Category,Amount
40,2020-03-04,Institution whatever yet.,Other,314.15
41,2020-03-04,Choice father why often.,Food,1201.9
42,2020-03-09,Security arm.,Rent,1858.91
43,2020-03-09,Me system church whether.,Travel,486.51
44,2020-03-11,Attention attack technology.,Rent,180.45
45,2020-03-11,Walk now often.,Rent,1956.19
46,2020-03-12,Bank price north first end.,Utilities,265.5
47,2020-03-12,Enter capital population.,Utilities,537.46
48,2020-03-14,Upon very act perform.,Shopping,1929.08
49,2020-03-15,Available defense.,Other,1428.77
50,2020-03-18,Value thing these.,Health,881.82
51,2020-03-21,Citizen street region.,Rent,503.33
52,2020-03-23,Property never.,Investment,2385.0
53,2020-03-23,Enough threat score.,Food,151.28
54,2020-03-24,Example decision garden.,Other,144.13
55,2020-03-28,Major town suffer begin.,Other,1080.0
56,2020-04-01,Analysis four capital.,Travel,1341.27
57,2020-04-05,Scientist necessary into.,Utilities,1449.47
59,2020-04-06,Along hard need involve among.,Shopping,388.92
60,2020-04-10,Together decide.,Other,3402.0
62,2020-04-17,See understand door class son.,Investment,996.0
63,2020-04-18,Agent say forward us.,Health,1603.18
64,2020-04-22,City red him.,Investment,2058.0
65,2020-04-23,Develop staff least figure.,Utilities,849.54
66,2020-04-25,Age cover foreign.,Other,1750.23
67,2020-04-26,Go meeting quickly.,Investment,914.0
68,2020-04-26,Voice boy wife condition.,Food,1938.3
69,2020-04-27,Board its.,Other,340.96
70,2020-04-27,Paper memory history office.,Other,1730.65
71,2020-04-29,Remember ability.,Utilities,764.16
72,2020-04-30,Hair attorney professional.,Travel,1853.77
73,2020-05-01,Finish summer rest feel finally.,Travel,851.78
75,2020-05-03,Past feeling nature.,Food,1162.57
76,2020-05-05,Expert involve oil.,Health,123.76
77,2020-05-06,Kid put memory soldier.,Utilities,123.19
78,2020-05-06,Exist professional.,Utilities,146.36
79,2020-05-07,Stand seem.,Investment,3807.0
80,2020-05-11,Southern challenge animal.,Investment,825.0
81,2020-05-12,Sure authority increase picture create.,Shopping,1318.17
82,2020-05-13,Hundred challenge reach throughout.,Health,1870.07
83,2020-05-14,Despite sound receive let.,Health,484.99
84,2020-05-15,True building card.,Travel,919.88
85,2020-05-16,Write other wear through partner.,Rent,28.54
86,2020-05-17,Store natural today season.,Rent,155.79
87,2020-05-19,Else easy point she.,Travel,273.59
88,2020-05-20,Phone ever back experience.,Rent,1759.75
89,2020-05-21,Floor music catch discuss.,Utilities,881.99
90,2020-05-25,Ask imagine my.,Travel,1227.24
91,2020-05-27,Deal information.,Food,1339.05
92,2020-05-28,Task she.,Rent,1878.47
93,2020-05-29,Accept goal send table.,Investment,1376.0
94,2020-05-30,Section national owner determine detail.,Utilities,551.97
95,2020-05-31,Ahead from quickly identify.,Health,415.16
96,2020-05-31,Try wonder move trade.,Travel,1015.76
97,2020-06-01,Base investment.,Food,193.67
98,2020-06-02,Anyone here deep.,Travel,97.73
99,2020-06-05,Seven here sell story.,Utilities,1277.86
101,2020-06-07,Difference attention whatever american.,Food,232.63
102,2020-06-08,Current after charge.,Utilities,1095.72
103,2020-06-09,Prove nor design record.,Utilities,865.28
104,2020-06-09,Paper white responsibility.,Other,826.0
105,2020-06-10,Blue agent find.,Other,1367.31
106,2020-06-10,Walk cup option store.,Health,1562.43
107,2020-06-11,Recent feeling.,Shopping,1947.94
108,2020-06-11,Site girl into have media.,Other,1730.57
109,2020-06-12,Support state.,Utilities,1764.02
110,2020-06-14,Whether player stock religious.,Other,3872.0
111,2020-06-15,Safe whole establish.,Other,540.94
112,2020-06-18,Let stay or focus.,Rent,771.26
113,2020-06-18,Everything late.,Other,2322.0
114,2020-06-18,Particular her agreement surface consider.,Other,3364.0
115,2020-06-19,Something future they red.,Other,453.62
116,2020-06-19,Act way beat result major.,Shopping,663.24
117,2020-06-21,Position make society behavior.,Travel,708.78
118,2020-06-21,Reality fill ok list.,Health,1879.08
119,2020-06-22,International second former reflect.,Other,1962.0
120,2020-06-22,Edge building court.,Travel,86.13
121,2020-06-24,Week real course school everybody.,Health,1459.8
122,2020-06-30,Executive beyond create dinner conference.,Rent,776.54
123,2020-06-30,Call animal approach factor want.,Travel,98.33
124,2020-07-02,Their off.,Other,734.8
125,2020-07-03,Key continue anything wait.,Other,3071.0
126,2020-07-04,State husband.,Rent,1442.31
127,2020-07-05,Picture approach chance none fight.,Travel,1337.12
128,2020-07-06,Newspaper indicate other.,Travel,1113.28
129,2020-07-06,Herself training father open investment.,Other,1925.0
130,2020-07-08,Art whether between several personal.,Travel,818.09
131,2020-07-11,Church community.,Travel,580.96
132,2020-07-12,Able late order.,Health,935.33
133,2020-07-12,Discuss religious.,Other,1027.24
134,2020-07-13,Reach under.,Utilities,1321.11
135,2020-07-17,Boy different chance enter.,Health,195.84
136,2020-07-20,Arrive society.,Other,1348.86
137,2020-07-21,Keep light fight.,Other,303.23
138,2020-07-21,Matter management ball.,Other,1096.0
139,2020-07-22,Same page ago director.,Other,1439.51
140,2020-07-22,Week yourself public especially american.,Shopping,495.53
141,2020-07-22,Million kind everything young.,Food,1786.39
142,2020-07-23,Why like impact fly.,Rent,1559.06
144,2020-07-28,Already because education break significant.,Rent,918.36
145,2020-07-28,Price my.,Health,1900.58
146,2020-07-29,Could gun.,Shopping,1662.83
147,2020-07-30,Kind appear environment capital explain.,Utilities,1489.87
148,2020-07-31,Ahead picture son.,Travel,1506.04
149,2020-08-01,Nearly need behavior.,Travel,1533.97
150,2020-08-01,Water positive child usually.,Other,556.45
151,2020-08-01,Relate indeed lot line lead.,Other,2420.0
152,2020-08-02,Course out second carry.,Health,1787.12
153,2020-08-03,Significant take future.,Investment,2394.0
154,2020-08-04,Star executive fear.,Utilities,1415.77
155,2020-08-04,Your majority chance mrs generation.,Other,3210.0
156,2020-08-04,Help usually thank wonder draw.,Shopping,133.91
157,2020-08-05,Task improve fish.,Shopping,1810.63
158,2020-08-05,History professional star wonder.,Food,1714.9
159,2020-08-06,Call whole.,Shopping,959.19
160,2020-08-08,Them key.,Travel,1509.42
161,2020-08-08,Address century that wide.,Shopping,1081.06
162,2020-08-09,Sit enter perhaps however.,Other,981.58
164,2020-08-14,Along attention piece tv young.,Shopping,1451.12
165,2020-08-16,Within set region beyond.,Utilities,1961.64
166,2020-08-17,Tough animal someone.,Shopping,1187.87
167,2020-08-18,Hear certainly most not.,Rent,1289.07
168,2020-08-19,Company participant him.,Other,1988.0
169,2020-08-20,Tree central leave effect.,Other,3181.0
170,2020-08-21,Together let.,Health,681.63
171,2020-08-21,Citizen kid generation onto police.,Travel,1506.5
172,2020-08-22,Lead few yourself.,Travel,1671.47
173,2020-08-22,Down occur.,Food,1999.82
174,2020-08-26,Yeah far within.,Rent,1564.65
175,2020-08-27,Account ten sing.,Food,1899.73
176,2020-08-27,Seat strategy total simply discover.,Investment,1748.0
178,2020-08-30,Best physical always small almost.,Other,935.42
179,2020-08-31,Bed far section.,Health,343.9
180,2020-09-01,Car much will.,Rent,1557.81
181,2020-09-05,Tree store either station.,Other,1385.0
182,2020-09-05,Second full boy.,Travel,1155.84
183,2020-09-06,Senior difficult put.,Shopping,799.34
184,2020-09-07,Hand so add mr lawyer.,Rent,1188.27
185,2020-09-08,Herself police he push likely.,Other,212.78
186,2020-09-11,Trip determine as statement.,Rent,1594.49
187,2020-09-11,Bring animal also you.,Food,700.94
188,2020-09-11,Doctor mr.,Health,147.22
189,2020-09-16,He we recent music.,Food,1700.66
190,2020-09-17,Those pressure street.,Rent,872.71
192,2020-09-18,Between rate name within.,Travel,1235.67
194,2020-09-22,Begin deep police wife.,Travel,651.39
195,2020-09-22,During call north attention.,Rent,565.07
197,2020-09-23,Able teach certain candidate economy.,Health,67.11
198,2020-09-23,Produce ago.,Utilities,980.22
199,2020-09-25,So draw food company.,Travel,687.27
200,2020-09-27,Score moment second.,Travel,1116.02
201,2020-09-27,Sing message board mean.,Other,180.37
204,2020-09-30,Focus chance.,Food,195.18
205,2020-10-01,Person one republican.,Other,619.35
207,2020-10-04,Involve thousand including.,Health,710.1
208,2020-10-07,Indeed believe interview professor.,Travel,510.29
209,2020-10-07,Rather listen before.,Investment,3084.0
210,2020-10-07,It season.,Investment,2069.0
212,2020-10-08,Improve them wait.,Travel,1961.22
213,2020-10-10,Why outside.,Travel,462.69
214,2020-10-10,Official defense.,Investment,4875.0
215,2020-10-10,Suggest glass news.,Investment,946.0
216,2020-10-12,Off southern suddenly.,Utilities,1279.36
217,2020-10-14,Participant price.,Rent,1746.71
219,2020-10-16,Go consider century price.,Food,512.43
220,2020-10-16,Scientist will begin.,Rent,1646.01
221,2020-10-16,Heavy law church.,Rent,1158.27
222,2020-10-18,Since nothing be apply.,Utilities,306.9
223,2020-10-19,Anyone bank kitchen interest parent.,Travel,179.51
224,2020-10-23,Democratic mention generation.,Shopping,1216.57
225,2020-10-24,Question or money.,Other,1553.63
227,2020-10-27,Daughter war.,Shopping,617.71
228,2020-10-27,Face build market.,Rent,1895.7
229,2020-10-27,Can mouth discover.,Other,536.65
230,2020-10-28,Author technology amount affect.,Investment,1923.0
231,2020-10-29,Office of remember individual.,Utilities,15.32
233,2020-10-31,Join black.,Travel,1408.95
234,2020-11-01,Hundred bad that second develop.,Other,1848.58
235,2020-11-01,Member box.,Other,856.03
236,2020-11-02,Town glass road.,Utilities,1817.74
237,2020-11-04,Bill eight community.,Rent,128.68
238,2020-11-06,Concern significant.,Travel,883.92
239,2020-11-07,Senior service large under.,Travel,1402.47
241,2020-11-10,Option goal avoid.,Shopping,1471.72
242,2020-11-10,Also hard expert popular.,Food,191.74
243,2020-11-12,Order his oil west school.,Food,1999.15
244,2020-11-12,Training occur could painting.,Travel,1156.73
245,2020-11-14,Whatever late specific.,Utilities,946.3
246,2020-11-14,Mean common.,Travel,371.16
248,2020-11-14,Impact full our smile.,Shopping,673.28
249,2020-11-15,Form newspaper.,Utilities,666.31
250,2020-11-15,Edge surface who.,Travel,1328.54
251,2020-11-16,Bank professional true financial.,Food,915.1
252,2020-11-16,Organization visit finally.,Health,240.68
253,2020-11-17,Spend prove stock school.,Food,1318.74
254,2020-11-20,Position interest.,Shopping,117.87
256,2020-11-23,Way main difficult case.,Other,541.44
257,2020-11-25,Such big side.,Other,4089.0
259,2020-11-26,Heavy class story side speak.,Other,1422.47
260,2020-11-27,Analysis hair rest wide.,Food,1108.98
261,2020-11-27,Doctor dream whole six.,Investment,4280.0
262,2020-11-29,Question now key show.,Utilities,1001.77
263,2020-12-01,Month whom stage soon.,Travel,836.83
265,2020-12-05,Surface expect several evening town.,Shopping,389.31
266,2020-12-06,Begin treat stage this.,Utilities,1729.41
267,2020-12-10,Apply maybe dog yes.,Shopping,686.35
268,2020-12-10,Agreement us stuff.,Travel,1642.89
269,2020-12-11,Case expert stop.,Travel,1676.58
272,2020-12-14,Draw police.,Shopping,916.14
273,2020-12-14,Book toward.,Other,1961.74
274,2020-12-16,Place offer.,Shopping,474.79
275,2020-12-16,Investment pass drive.,Food,643.17
276,2020-12-16,Professor beat window.,Shopping,778.3
277,2020-12-18,Name skill medical after them.,Utilities,995.7
278,2020-12-18,Wonder effect administration small.,Other,1322.0
280,2020-12-20,And national spend.,Food,1447.66
281,2020-12-22,Wonder long consider care.,Utilities,158.91
282,2020-12-23,Fall analysis.,Travel,683.74
283,2020-12-23,Firm financial.,Rent,1705.01
284,2020-12-24,List already positive experience television.,Shopping,1908.74
286,2020-12-26,Fund cost reality happen.,Investment,2423.0
287,2020-12-28,Song risk bad.,Travel,1994.88
288,2020-12-30,Family bill foreign fast knowledge.,Shopping,1956.89
289,2020-12-31,Ready goal amount.,Rent,892.92
290,2021-01-01,Your ever woman way avoid.,Food,101.52
291,2021-01-06,Message seek civil all.,Travel,723.34
292,2021-01-06,Call door.,Other,1067.02
293,2021-01-08,Him note painting quickly.,Utilities,348.27
294,2021-01-10,Know baby case happen.,Other,2472.0
295,2021-01-10,Economic box save.,Utilities,472.06
297,2021-01-12,Customer career available common.,Other,2856.0
298,2021-01-13,Specific whose.,Utilities,156.99
299,2021-01-13,Remember nearly face feel.,Travel,1281.49
300,2021-01-14,Soldier meeting building.,Travel,919.1
301,2021-01-14,Door management guess.,Shopping,1708.14
302,2021-01-15,Level work candidate this.,Other,3440.0
303,2021-01-15,Huge response long.,Travel,53.66
304,2021-01-17,Statement available win politics.,Shopping,556.22
305,2021-01-17,Quite general there sister.,Food,1822.13
306,2021-01-19,Item treat area.,Travel,1553.72
307,2021-01-20,Check clearly follow remember generation.,Health,445.82
308,2021-01-24,Suffer economy play.,Other,1620.0
309,2021-01-26,By field move.,Food,624.78
310,2021-01-27,Option oil commercial.,Health,1467.4
311,2021-01-27,American tell ball we side.,Other,3176.0
312,2021-01-27,Short indicate police.,Utilities,409.58
313,2021-01-27,Nation politics few each southern.,Health,1066.4
314,2021-01-29,Law read citizen.,Utilities,521.37
316,2021-02-05,Wish candidate have no.,Health,1610.42
317,2021-02-05,Letter environment easy.,Rent,290.11
318,2021-02-08,Face his.,Shopping,1934.87
319,2021-02-08,While total spend.,Health,189.7
320,2021-02-09,Couple city you level.,Travel,1077.78
321,2021-02-09,Age war measure whom.,Travel,1173.27
322,2021-02-11,Good anything manager think pressure.,Health,225.61
323,2021-02-11,Mr suggest issue.,Food,1242.9
324,2021-02-13,Shake hand hundred now.,Health,1831.36
325,2021-02-16,Network available mean share.,Rent,1274.45
326,2021-02-18,Quite budget window hour some.,Travel,1301.99
327,2021-02-19,Voice sense current meeting matter.,Investment,804.0
329,2021-02-21,Lead paper middle foreign party.,Utilities,783.41
330,2021-02-23,Wrong school federal from.,Shopping,1178.81
331,2021-02-24,Majority none little admit former.,Shopping,1313.29
332,2021-02-27,On someone rise read.,Shopping,1878.72
333,2021-02-28,Listen whose situation simply officer.,Health,442.37
334,2021-03-02,Lose modern return simple herself.,Other,1712.35
335,2021-03-02,Occur red.,Other,4960.0
336,2021-03-02,Kid industry.,Health,130.49
337,2021-03-04,Improve simple turn.,Rent,1898.53
338,2021-03-05,Million night your.,Rent,1328.91
339,2021-03-05,Heavy what least mouth national.,Food,110.65
340,2021-03-07,Machine whatever everything fear walk.,Utilities,1576.09
341,2021-03-07,Relate real major.,Other,1176.9
342,2021-03-08,Night various return explain.,Other,663.83
343,2021-03-09,Here woman stand west source.,Investment,2771.0
344,2021-03-09,Explain research.,Utilities,1975.18
345,2021-03-10,Pretty section degree still.,Utilities,228.75
346,2021-03-12,Receive case past only drug.,Utilities,39.57
347,2021-03-15,Point appear including.,Other,1181.82
348,2021-03-15,Race case.,Other,929.0
349,2021-03-16,Imagine various there.,Other,4809.0
350,2021-03-16,Sense expert experience.,Investment,4401.0
351,2021-03-17,Present discussion.,Health,1031.34
352,2021-03-17,Individual study value.,Investment,855.0
353,2021-03-18,Small control see the.,Travel,921.5
354,2021-03-19,Across nothing.,Food,1997.19
355,2021-03-20,Expect writer myself management.,Shopping,1375.33
357,2021-03-22,Responsibility add front.,Investment,1038.0
358,2021-03-22,Purpose cover particularly police if.,Other,3620.0
359,2021-03-22,Foreign husband believe word local.,Travel,912.89
360,2021-03-23,End dog.,Rent,1588.26
361,2021-03-23,Few reveal activity president.,Investment,4023.0
362,2021-03-24,Property let.,Other,833.49
363,2021-03-25,Rather type thousand show.,Shopping,837.82
364,2021-03-26,Happen determine whatever.,Other,3060.0
365,2021-03-27,Lawyer writer health.,Health,1907.65
367,2021-03-29,Land region back nor article.,Rent,869.43
368,2021-03-30,Dark mr clearly take.,Health,1625.42
369,2021-04-01,Quite response.,Health,1343.33
370,2021-04-02,Together knowledge.,Shopping,1737.5
371,2021-04-03,Car indeed nor next.,Travel,1204.82
372,2021-04-03,How staff.,Other,317.91
373,2021-04-03,Authority interest red must art.,Rent,706.73
374,2021-04-08,All important shoulder she.,Rent,1527.59
375,2021-04-08,Year him thank trade.,Shopping,1691.86
376,2021-04-09,Radio product.,Food,1221.9
377,2021-04-11,President girl condition.,Travel,67.62
378,2021-04-11,More road development about.,Travel,1843.86
379,2021-04-12,Leg rest interest.,Utilities,1741.03
380,2021-04-13,Easy get every.,Shopping,148.47
381,2021-04-18,Special information.,Food,192.6
382,2021-04-19,Deal beyond almost.,Shopping,845.47
383,2021-04-19,Scientist i doctor.,Health,630.16
384,2021-04-19,Cell year.,Rent,1767.85
385,2021-04-19,Five our pull fly few.,Investment,1168.0
386,2021-04-21,Determine feel article we they.,Shopping,976.47
387,2021-04-23,Quickly new another general poor.,Travel,438.98
388,2021-04-23,Five indicate chance heavy senior.,Health,865.53
390,2021-04-27,None whose.,Other,796.57
391,2021-04-27,Care drug data position two.,Food,416.8
392,2021-04-27,Movie stop.,Utilities,1530.68
393,2021-04-30,Help painting always.,Rent,25.38
394,2021-05-02,Source onto provide.,Utilities,267.08
395,2021-05-04,Decade trade field training.,Other,1005.52
396,2021-05-04,While bring yourself.,Health,153.43
397,2021-05-06,Receive region however.,Food,878.08
398,2021-05-07,Focus executive letter possible final.,Rent,1725.6
399,2021-05-07,Third letter sort reveal seven.,Shopping,1421.9
400,2021-05-07,Have including none.,Rent,816.01
401,2021-05-10,Administration network once.,Utilities,1604.63
402,2021-05-11,Charge form here.,Health,185.38
403,2021-05-11,Nearly want front shake.,Other,877.0
404,2021-05-12,Leave run goal cause.,Rent,797.58
405,2021-05-14,Contain threat wrong whatever.,Health,450.93
406,2021-05-14,Stuff avoid.,Rent,1025.86
407,2021-05-15,Include successful.,Investment,3362.0
408,2021-05-17,Religious across.,Utilities,480.18
409,2021-05-19,Health pay project pattern.,Investment,1921.0
410,2021-05-22,Administration mother in admit.,Rent,362.52
413,2021-05-24,People education great.,Health,1729.85
414,2021-05-24,Health image.,Utilities,885.13
415,2021-05-25,Wrong difficult range.,Travel,1594.7
416,2021-05-25,Behavior here.,Health,1019.6
418,2021-05-27,Not teach believe month.,Travel,162.69
419,2021-05-29,Deep test thought.,Rent,1233.87
421,2021-05-31,Probably conference sure administration debate.,Food,904.97
422,2021-05-31,Up federal nor note.,Other,649.84
423,2021-06-02,Forward sense cause write right.,Utilities,1915.87
424,2021-06-02,Approach join stuff future.,Health,1964.95
425,2021-06-03,Ahead event yeah make.,Investment,820.0
427,2021-06-06,Require bank child.,Utilities,734.16
428,2021-06-06,First blood accept final.,Shopping,823.45
429,2021-06-09,Bill beautiful issue.,Food,1580.56
430,2021-06-11,Mention billion bed never others.,Rent,666.08
431,2021-06-11,Activity including single right.,Shopping,575.45
432,2021-06-14,Occur college herself.,Utilities,673.39
433,2021-06-15,Feeling manage as.,Utilities,1834.33
434,2021-06-16,Inside machine baby.,Shopping,266.61
435,2021-06-20,Result many pattern.,Rent,626.07
436,2021-06-20,Career according.,Health,1628.24
437,2021-06-22,Success here television key.,Rent,1295.59
438,2021-06-23,Carry fly water cut fire.,Health,46.28
439,2021-06-24,Fact reason make office.,Other,690.05
440,2021-06-26,Heavy staff hotel box.,Other,460.82
441,2021-06-27,Or nation race.,Investment,2923.0
442,2021-06-28,Well left.,Rent,1020.3
443,2021-06-28,Something story attorney summer.,Food,1327.24
444,2021-06-28,Cause field education child.,Utilities,1198.52
445,2021-06-28,Available wrong look husband.,Investment,1856.0
446,2021-06-29,Myself so growth time.,Food,827.61
447,2021-07-04,Point be shoulder price great.,Other,1939.48
450,2021-07-06,Newspaper reach determine hear leg.,Other,4282.0
451,2021-07-07,General agency bit.,Shopping,1010.78
452,2021-07-09,Break wait.,Utilities,1635.61
453,2021-07-09,Find lay deal lot.,Utilities,1747.27
454,2021-07-10,Just recent.,Other,3540.0
455,2021-07-10,Feel special.,Rent,1425.69
456,2021-07-11,Support possible.,Rent,577.28
457,2021-07-11,Might necessary former.,Travel,904.15
458,2021-07-11,Discussion if continue policy.,Shopping,192.51
460,2021-07-13,Relate day.,Shopping,115.98
461,2021-07-14,Big the cost for leader.,Other,778.47
462,2021-07-15,Month police others particularly.,Investment,730.0
463,2021-07-19,Girl suddenly.,Rent,1679.96
464,2021-07-19,Try opportunity public.,Utilities,283.82
466,2021-07-23,Home others offer institution main.,Other,4174.0
467,2021-07-24,Never majority cell.,Rent,47.82
468,2021-07-28,People tend weight machine.,Utilities,1102.12
469,2021-07-29,White measure manager range.,Shopping,231.26
470,2021-08-02,Major bar air set.,Travel,252.48
473,2021-08-07,Environmental myself.,Investment,1676.0
474,2021-08-08,State among rest national wrong.,Food,1233.47
475,2021-08-09,Fear yourself last.,Shopping,382.75
476,2021-08-11,Keep yes.,Health,144.68
477,2021-08-13,Specific onto go.,Food,787.0
478,2021-08-13,Pattern size spend.,Shopping,1962.27
479,2021-08-15,Go exactly much food region.,Food,720.62
480,2021-08-16,Environment teach world quickly believe.,Investment,1349.0
481,2021-08-18,Yeah term.,Health,275.49
482,2021-08-20,Economic represent stock.,Health,1628.88
483,2021-08-21,Central plan physical heart.,Other,4420.0
484,2021-08-21,Idea seek.,Utilities,135.57
486,2021-08-23,Play recently sure somebody.,Other,1772.72
487,2021-08-24,Why station manager.,Travel,1035.61
489,2021-08-27,Thus several animal phone.,Other,579.36
490,2021-08-29,Buy tax.,Food,1732.94
491,2021-09-05,A when dark read.,Rent,1600.69
492,2021-09-06,City usually ever.,Shopping,1489.18
493,2021-09-09,Bar professor power.,Shopping,684.68
494,2021-09-09,Personal rise sense investment.,Other,3509.0
495,2021-09-09,Ability live.,Travel,1604.28
496,2021-09-10,Difficult quite act receive stage.,Rent,866.91
497,2021-09-11,Local director become.,Utilities,1095.49
498,2021-09-11,Finish thing.,Rent,662.56
501,2021-09-15,Goal defense security turn.,Other,4063.0
502,2021-09-16,Beautiful beyond sell.,Food,159.33
503,2021-09-16,White fire cause everybody.,Health,1031.04
504,2021-09-17,Network outside parent.,Utilities,1906.05
505,2021-09-17,Day parent country.,Other,785.0
506,2021-09-19,Position six soldier.,Investment,3500.0
507,2021-09-19,History drop point audience.,Food,1214.14
508,2021-09-19,Value car team nothing.,Health,750.31
509,2021-09-19,Raise several west side admit.,Utilities,1063.63
510,2021-09-20,Energy always.,Travel,506.73
511,2021-09-21,Media pick may indeed.,Investment,4588.0
512,2021-09-28,Policy mrs.,Rent,530.94
515,2021-10-08,Role suffer around beat.,Investment,4203.0
516,2021-10-13,Law participant.,Other,1219.0
517,2021-10-13,Budget remain reduce.,Health,1339.0
518,2021-10-13,Well mission situation result.,Travel,1783.75
519,2021-10-16,Camera sit environmental though.,Utilities,1589.46
520,2021-10-20,Southern evening ask republican.,Rent,1970.41
521,2021-10-21,Baby lawyer growth matter note.,Other,1582.84
522,2021-10-22,Effort bill off.,Other,4328.0
523,2021-10-24,Scientist able teach.,Utilities,1227.78
524,2021-10-24,Animal hair turn.,Other,3761.0
526,2021-10-27,Focus indicate result.,Rent,259.4
527,2021-10-30,Number budget.,Rent,905.45
528,2021-11-03,Development middle animal.,Health,265.39
529,2021-11-04,Theory tend.,Utilities,1537.89
530,2021-11-05,Beat lead hard factor.,Investment,1517.0
531,2021-11-05,Drug happy will young simply.,Travel,337.67
532,2021-11-06,Character usually agency.,Other,698.59
533,2021-11-07,Player really act friend.,Travel,1693.41
534,2021-11-10,Billion morning draw.,Travel,259.09
535,2021-11-15,Win central.,Rent,1010.12
536,2021-11-16,Analysis discuss.,Investment,1902.0
537,2021-11-17,Red head window be.,Health,1686.63
538,2021-11-18,Card star avoid nothing.,Food,171.63
539,2021-11-18,Door end fire.,Travel,1305.75
540,2021-11-19,Fish evening avoid dark.,Shopping,1240.04
541,2021-11-21,Choice clearly.,Other,2974.0
542,2021-11-21,Image movie who debate.,Shopping,601.89
543,2021-11-21,Enter build citizen rather.,Investment,1794.0
545,2021-11-26,How any federal star.,Utilities,632.04
546,2021-11-27,Weight take.,Health,1950.99
547,2021-11-28,Economic left sound cause activity.,Other,4718.0
548,2021-12-01,Cup hundred rather.,Health,491.06
549,2021-12-02,Only true avoid young cup.,Other,2530.0
550,2021-12-03,Begin suggest speak.,Investment,2877.0
551,2021-12-03,Walk anything.,Shopping,504.06
552,2021-12-08,Start house ahead raise.,Utilities,1628.82
553,2021-12-09,Democrat cost evidence third.,Health,387.77
554,2021-12-09,People early far include nearly.,Other,4585.0
557,2021-12-13,Name machine tree maybe.,Health,106.83
559,2021-12-15,Speak line.,Investment,4030.0
560,2021-12-15,Yourself wind beyond prevent entire.,Other,3496.0
561,2021-12-16,Offer work home.,Health,100.03
562,2021-12-19,Door fish scene.,Investment,3469.0
563,2021-12-20,Agreement red way nor none.,Rent,778.83
564,2021-12-20,My compare also argue.,Travel,1652.37
565,2021-12-23,Money a.,Rent,266.04
566,2021-12-24,Future concern sort.,Other,3277.0
567,2021-12-26,Against only.,Health,1512.38
568,2021-12-28,Suffer team.,Other,4596.0
569,2021-12-31,Relate product only from.,Investment,1622.0
571,2022-01-03,Company why really up.,Investment,3186.0
572,2022-01-03,Program sport her.,Health,333.38
573,2022-01-03,Concern ability reduce.,Travel,1191.51
575,2022-01-05,Determine not view cell seat.,Food,743.03
576,2022-01-06,Word collection those become.,Shopping,1171.57
577,2022-01-08,Activity decide really go.,Food,1197.85
578,2022-01-09,Answer just.,Other,1445.59
579,2022-01-13,This manage her.,Utilities,1053.22
580,2022-01-13,Big look tell prepare.,Shopping,304.07
581,2022-01-14,Later son almost.,Food,1149.41
582,2022-01-16,End bit game thousand.,Other,47.69
583,2022-01-16,Natural together.,Utilities,831.79
585,2022-01-18,Threat church big day couple.,Food,1414.49
586,2022-01-21,Enter example down anyone occur.,Health,1996.26
587,2022-01-21,Approach about because.,Shopping,634.37
588,2022-01-22,Best deal point.,Other,4975.0
589,2022-01-23,Such final however major.,Travel,1224.05
590,2022-01-24,Politics hold.,Investment,2785.0
591,2022-01-28,Hard knowledge enjoy let.,Other,1883.56
592,2022-02-01,Nor character recent.,Travel,1412.75
